longitude,latitude,time,r,q,t,u,v,w,vo
-11.0,23.0,2022-10-07T21:00:00.000000000,21.338003,0.006030312,306.81778,1.7426734,-2.6665196,0.0018919208,-6.3610373e-06
-11.0,22.5,2022-10-01T00:00:00.000000000,38.255047,0.0071884743,299.4569,2.3280802,-4.958276,-0.045894075,1.1668232e-05
-11.0,22.5,2022-10-01T03:00:00.000000000,52.375347,0.008353628,296.19394,0.99973917,-5.515829,-0.0501179,4.597544e-07
-11.0,22.5,2022-10-01T06:00:00.000000000,66.47997,0.008987069,293.38095,1.201261,-4.8351893,-0.035366047,-6.3204848e-06
-11.0,22.5,2022-10-01T09:00:00.000000000,62.194176,0.008886739,292.88153,1.6788111,-5.0425315,-0.030322662,-5.9311883e-06
-11.0,22.5,2022-10-01T12:00:00.000000000,41.631737,0.007782412,296.92093,1.4787083,-3.2313995,-0.047848392,1.7087452e-06
-11.0,22.5,2022-10-01T15:00:00.000000000,27.695051,0.0064515574,300.85367,2.084693,-2.021047,-0.030322662,2.6008831e-06
-11.0,22.5,2022-10-01T18:00:00.000000000,24.450472,0.0058754478,301.90967,1.8221469,-1.4678901,0.002648423,5.7639095e-06
-11.0,22.5,2022-10-01T21:00:00.000000000,28.577288,0.006077505,301.39856,1.1246259,-1.012909,0.007880935,-2.8168204e-06
-11.0,22.5,2022-10-02T00:00:00.000000000,33.01535,0.0060533844,300.7405,0.30931422,0.22968018,0.015698204,-1.5712247e-05
-11.0,22.5,2022-10-02T03:00:00.000000000,37.23398,0.0060180766,300.2034,-0.27254465,1.2011855,0.0030897358,-2.2922335e-05
-11.0,22.5,2022-10-02T06:00:00.000000000,40.870415,0.0059579485,299.83536,-1.0970811,1.0421985,0.022948036,-2.9248393e-05
-11.0,22.5,2022-10-02T09:00:00.000000000,31.933828,0.005853074,299.74823,-1.7626708,0.878083,0.023515413,-1.9337565e-05
-11.0,22.5,2022-10-02T12:00:00.000000000,21.387266,0.0060324096,304.0191,-2.8625257,2.3924885,-0.025594464,-2.1527356e-05
-11.0,22.5,2022-10-02T15:00:00.000000000,19.539938,0.006718637,307.6215,-2.1160436,3.5244462,0.0063679316,-2.1211055e-05
-11.0,22.5,2022-10-02T18:00:00.000000000,19.2578,0.006805683,308.6268,-2.5999796,2.3265493,0.006872306,-1.7163997e-05
-11.0,22.5,2022-10-02T21:00:00.000000000,23.328638,0.0068825907,308.24185,-3.1201048,-0.26926053,-0.002268841,-7.3748292e-06
-11.0,22.5,2022-10-03T00:00:00.000000000,27.415152,0.006886436,307.26517,-3.1115897,-0.6231345,-0.02036195,-7.6343595e-06
-11.0,22.5,2022-10-03T03:00:00.000000000,30.76945,0.0068794442,305.76178,-3.0278587,-1.5741254,-0.027044466,-8.461614e-06
-11.0,22.5,2022-10-03T06:00:00.000000000,32.05698,0.0066585094,303.79282,-3.2137697,-2.360268,-0.024207523,-7.4640398e-06
-11.0,22.5,2022-10-03T09:00:00.000000000,24.77963,0.00622363,302.69907,-3.9098716,-2.5185223,-0.029124847,-5.485121e-06
-11.0,22.5,2022-10-03T12:00:00.000000000,17.392557,0.0063187163,308.49805,-6.627578,-1.4393164,-0.051315714,-1.09028215e-05
-11.0,22.5,2022-10-03T15:00:00.000000000,18.662176,0.0073884344,310.30707,-6.284139,-0.25607264,-0.03517692,-1.526618e-05
-11.0,22.5,2022-10-03T18:00:00.000000000,19.405584,0.007512536,310.6478,-4.2625346,-1.3968221,-0.028809657,-1.3960419e-05
-11.0,22.5,2022-10-03T21:00:00.000000000,22.417292,0.0075338604,310.1406,-2.9349034,-2.8789907,-0.030070474,-6.442139e-06
-11.0,22.5,2022-10-04T00:00:00.000000000,24.04294,0.0073657115,309.53586,-2.1685526,-3.5325222,-0.075208716,-5.517561e-06
-11.0,22.5,2022-10-04T03:00:00.000000000,25.695456,0.0070727626,307.8309,-2.4502575,-4.054908,-0.05970036,-1.251529e-06
